Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
94,3000	182,48
94,4000	120,36
94,5000	117,50
94,6000	178,52
94,7000	124,67
94,8000	103,76
94,9000	175,42
95,0000	153,80
95,1000	102,63
95,2000	150,26
95,3000	158,91
95,4000	102,78
95,5000	145,41
95,6000	163,88
95,7000	104,19
95,8000	140,47
95,9000	182,96
96,0000	106,16
96,1000	116,81
96,2000	183,94
96,3000	125,84
96,4000	113,60
96,5000	174,54
96,6000	130,46
96,7000	102,35
96,8000	170,82
96,9000	160,09
97,0000	101,64
97,1000	144,28
97,2000	165,20
97,3000	104,65
97,4000	139,42
97,5000	183,27
97,6000	106,58
97,7000	134,66
97,8000	184,08
97,9000	109,02
98,0000	113,02
98,1000	184,11
98,2000	131,32
98,3000	110,32
98,4000	170,03
98,5000	136,36
98,6000	101,45
98,7000	165,81
98,8000	166,02
98,9000	101,17
99,0000	138,44
99,1000	170,54
99,2000	106,97
99,3000	133,93
99,4000	184,20
99,5000	109,33
99,6000	112,52
99,7000	183,96
99,8000	112,11
99,9000	110,01
100,0000	183,22
100,1000	136,94
100,2000	107,72
100,3000	165,49
100,4000	142,12
100,5000	101,15
100,6000	160,90
100,7000	170,89
100,8000	101,20
100,9000	133,54
101,0000	174,70
101,1000	109,61
101,2000	129,33
101,3000	183,96
101,4000	112,40
101,5000	109,81
101,6000	183,11
101,7000	115,87
101,8000	107,59
101,9000	181,43
102,0000	142,63
102,1000	105,62
102,2000	160,55
102,3000	147,90
102,4000	101,25
102,5000	155,82
102,6000	174,98
102,7000	101,73
102,8000	128,87
102,9000	178,21
103,0000	112,80
103,1000	124,85
103,2000	183,01
103,3000	116,42
103,4000	107,26
103,5000	181,15
103,6000	143,37
103,7000	105,35
103,8000	178,75
103,9000	148,50
104,0000	103,77
104,1000	155,04
104,2000	154,00
104,3000	101,84
104,4000	150,37
104,5000	178,68
104,6000	102,70
104,7000	124,21
104,8000	181,27
104,9000	117,02
105,0000	120,48
105,1000	180,75
105,2000	121,18
105,3000	105,03
105,4000	178,26
105,5000	149,34
105,6000	103,57
105,7000	154,41
105,8000	154,71
105,9000	102,46
106,0000	149,60
106,1000	159,71
106,2000	102,92
106,3000	144,68
106,4000	181,70
106,5000	104,40
106,6000	119,87
106,7000	183,29
106,8000	121,90
106,9000	116,37
107,0000	177,74
107,1000	126,25
107,2000	103,33
107,3000	174,24
107,4000	155,98
107,5000	102,17
107,6000	148,39
107,7000	161,13
107,8000	103,25
107,9000	143,32
108,0000	166,05
108,1000	104,95
108,2000	138,35
108,3000	183,70
108,4000	107,04
108,5000	115,25
108,6000	184,41
108,7000	127,84
108,8000	112,32
108,9000	173,04
109,0000	132,62
109,1000	101,98
109,2000	169,05
109,3000	162,53
109,4000	101,37
109,5000	141,94
109,6000	167,25
109,7000	105,36
109,8000	137,17
109,9000	171,80
110,0000	107,62
110,1000	132,59
110,2000	184,33
110,3000	110,18
110,4000	111,69
110,5000	183,97
110,6000	133,74
110,7000	109,12
110,8000	168,18
110,9000	138,84
111,0000	101,28
111,1000	163,51
111,2000	168,53
111,3000	101,09
111,4000	135,98
111,5000	172,78
111,6000	108,19
111,7000	131,53
111,8000	184,30
111,9000	110,92
112,0000	127,30
112,1000	183,72
112,2000	114,26
112,3000	108,54
112,4000	182,44
112,5000	140,36
112,6000	106,34
112,7000	162,36
112,8000	145,83
112,9000	101,07
113,0000	157,53
113,1000	173,98
113,2000	101,46
113,3000	130,37
113,4000	177,35
113,5000	111,83
113,6000	126,13
113,7000	183,46
113,8000	115,35
113,9000	107,80
114,0000	181,78
114,1000	119,19
114,2000	105,65
114,3000	179,28
114,4000	147,78
114,5000	103,97
114,6000	155,79
114,7000	153,31
114,8000	101,68
114,9000	151,04
115,0000	178,55
115,1000	102,58
115,2000	124,58
115,3000	181,22
115,4000	116,80
115,5000	120,58
115,6000	181,03
115,7000	121,05
115,8000	105,00
115,9000	178,20
116,0000	125,61
116,1000	103,48
116,2000	174,95
116,3000	155,07
116,4000	102,36
116,5000	149,36
116,6000	160,27
116,7000	103,02
116,8000	144,12
116,9000	181,91
117,0000	104,59
117,1000	119,20
117,2000	183,54
117,3000	122,54
117,4000	115,56
117,5000	177,05
117,6000	127,43
117,7000	103,00
117,8000	173,53
117,9000	157,10
118,0000	102,04
118,1000	147,51
118,2000	162,17
118,3000	101,35
118,4000	142,28
118,5000	167,23
118,6000	105,33
118,7000	137,37
118,8000	184,08
118,9000	107,54
119,0000	114,53
119,1000	184,43
119,2000	128,86
119,3000	111,59
119,4000	172,19
119,5000	133,96
119,6000	101,74
119,7000	168,15
119,8000	163,77
119,9000	101,24
120,0000	140,69
120,1000	168,75
120,2000	101,09
120,3000	135,82
120,4000	173,11
120,5000	108,33
120,6000	131,23
120,7000	184,51
120,8000	111,12
120,9000	110,74
121,0000	183,84
121,1000	135,53
121,2000	108,34
121,3000	166,64
121,4000	140,89
121,5000	101,13
121,6000	161,95
121,7000	170,12
121,8000	101,10
121,9000	134,41
122,0000	174,36
122,1000	109,04
122,2000	130,04
122,3000	177,74
122,4000	112,00
122,5000	125,90
122,6000	183,62
122,7000	115,41
122,8000	107,74
122,9000	181,87
123,0000	142,35
123,1000	105,71
123,2000	160,83
123,3000	147,64
123,4000	101,13
123,5000	156,17
123,6000	175,21
123,7000	101,63
123,8000	128,98
123,9000	178,45
124,0000	112,77
124,1000	124,87
124,2000	183,20
124,3000	116,38
124,4000	121,06
124,5000	181,38
124,6000	120,56
124,7000	105,28
124,8000	178,73
124,9000	149,06
125,0000	103,65
125,1000	154,73
125,2000	154,58
125,3000	101,87
125,4000	149,97
125,5000	179,26
125,6000	102,79
125,7000	123,67
125,8000	181,67
125,9000	117,59
126,0000	119,97
126,1000	180,74
126,2000	121,72
126,3000	104,72
126,4000	177,89
126,5000	126,34
126,6000	103,22
126,7000	174,52
126,8000	155,87
126,9000	102,18
127,0000	148,53
127,1000	161,14
127,2000	103,16
127,3000	143,47
127,4000	182,37
127,5000	104,80
127,6000	118,82
127,7000	183,85
127,8000	123,12
127,9000	115,34
128,0000	176,94
128,1000	127,78
128,2000	102,88
128,3000	173,34
128,4000	132,47
128,5000	101,92
128,6000	169,23
128,7000	162,66
128,8000	101,27
128,9000	141,76
129,0000	167,66
129,1000	105,44
129,2000	136,84
129,3000	184,22
129,4000	107,71
129,5000	114,17
129,6000	184,59
129,7000	129,36
129,8000	111,28
129,9000	171,94
130,0000	134,37
130,1000	101,64
130,2000	167,75
130,3000	164,31
130,4000	101,13
130,5000	162,99
130,6000	169,21
130,7000	101,06
130,8000	135,46
130,9000	173,47
131,0000	108,42
131,1000	130,94
131,2000	184,58
131,3000	111,29
131,4000	110,66
131,5000	183,93
131,6000	135,77
131,7000	108,19
131,8000	166,45
131,9000	141,10
132,0000	101,06
132,1000	161,68
132,2000	170,42
132,3000	101,08
132,4000	134,10
132,5000	174,62
132,6000	101,46
132,7000	129,70
132,8000	177,85
132,9000	112,16
133,0000	125,58
133,1000	183,53
133,2000	115,71
133,3000	107,50
133,4000	181,79
133,5000	142,52
133,6000	105,51
133,7000	160,42
133,8000	148,14
133,9000	101,14
134,0000	155,74
134,1000	175,50
134,2000	101,61
134,3000	128,70
134,4000	178,67
134,5000	112,97
134,6000	124,61
134,7000	181,31
134,8000	116,75
134,9000	120,69
135,0000	181,28
135,1000	120,72
135,2000	105,12
135,3000	178,62
135,4000	149,48
135,5000	103,61
135,6000	154,64
135,7000	154,87
135,8000	101,83
135,9000	149,88
136,0000	179,35
136,1000	102,79
136,2000	123,64
136,3000	181,86
136,4000	117,73
136,5000	119,92
136,6000	183,67
136,7000	121,83
136,8000	116,26
136,9000	177,99
137,0000	126,34
137,1000	103,28
137,2000	174,45
137,3000	156,15
137,4000	102,13
137,5000	148,67
137,6000	161,17
137,7000	103,11
137,8000	143,61
137,9000	182,35
138,0000	104,74
138,1000	118,78
138,2000	184,04
138,3000	123,22
138,4000	115,34
138,5000	177,05
138,6000	127,68
138,7000	112,41
138,8000	173,53
138,9000	132,58
139,0000	101,87
139,1000	169,50
139,2000	162,59
139,3000	101,27
139,4000	142,12
139,5000	167,46
139,6000	105,39
139,7000	137,18
139,8000	184,29
139,9000	107,59
140,0000	114,31
140,1000	184,71
140,2000	129,28
140,3000	111,31
140,4000	172,03
140,5000	134,44
140,6000	101,62
140,7000	167,79
140,8000	139,73
140,9000	101,12
141,0000	162,98
141,1000	169,39
141,2000	100,98
141,3000	135,25
141,4000	173,57
141,5000	108,53
141,6000	130,71
141,7000	184,67
141,8000	111,39
141,9000	110,47
142,0000	183,95
142,1000	136,09
142,2000	107,98
142,3000	166,29
142,4000	141,53
142,5000	101,07
142,6000	161,51
142,7000	170,75
142,8000	101,05
142,9000	156,85
143,0000	174,70
143,1000	101,47
143,2000	129,69
143,3000	178,16
143,4000	112,12
143,5000	125,56
143,6000	183,83
143,7000	115,68
143,8000	107,69
143,9000	182,14
144,0000	142,29
144,1000	105,73
144,2000	161,06
144,3000	147,52
144,4000	101,08
144,5000	156,32
144,6000	175,14
144,7000	101,46
144,8000	129,15
144,9000	178,30
145,0000	102,26
145,1000	125,23
145,2000	181,08
145,3000	115,88
145,4000	121,60
145,5000	181,98
145,6000	119,76
145,7000	105,54
145,8000	179,53
145,9000	148,03
146,0000	103,92
146,1000	156,01
146,2000	153,15
146,3000	101,54
146,4000	151,37
146,5000	178,66
146,6000	102,33
146,7000	125,18
146,8000	181,18
146,9000	103,58
147,0000	121,53
147,1000	183,10
147,2000	119,96
147,3000	117,80
147,4000	179,44
147,5000	124,17
147,6000	103,88
147,7000	176,42
147,8000	153,34
147,9000	102,65
148,0000	151,34
148,1000	158,26
148,2000	102,36
148,3000	146,68
148,4000	181,21
148,5000	103,59
148,6000	121,35
148,7000	183,28
148,8000	120,17
148,9000	117,73
149,0000	184,55
149,1000	124,32
149,2000	114,65
149,3000	176,48
149,4000	128,80
149,5000	102,65
149,6000	173,03
149,7000	158,46
149,8000	101,79
149,9000	146,47
150,0000	163,42
150,1000	103,69
150,2000	141,67
150,3000	183,31
150,4000	105,49
150,5000	117,57
150,6000	184,57
150,7000	124,47
150,8000	114,41
150,9000	176,23
151,0000	129,18
151,1000	111,45
151,2000	172,57
151,3000	134,15
151,4000	101,70
151,5000	168,31
151,6000	164,15
151,7000	101,14
151,8000	140,59
151,9000	169,07
152,0000	105,92
152,1000	135,87
152,2000	184,66
152,3000	108,27
152,4000	113,64
152,5000	184,92
152,6000	130,39
152,7000	110,78
152,8000	171,52
152,9000	135,42
153,0000	101,48
153,1000	167,06
153,2000	140,75
153,3000	101,10
153,4000	162,39
