Absolutdruck 1 vs Winkelposition, Messreihe #1
Winkelposition ( rad )	Absolutdruck 1 ( kPa )
-0,994	98,37
-0,986	98,52
-0,979	98,63
-0,971	98,78
-0,963	98,85
-0,955	99,08
-0,947	99,22
-0,938	99,35
-0,928	99,53
-0,917	99,72
-0,908	99,89
-0,898	100,09
-0,888	100,32
-0,877	100,52
-0,866	100,76
-0,855	100,97
-0,842	101,22
-0,831	101,52
-0,818	101,73
-0,806	102,04
-0,793	102,34
-0,781	102,52
-0,767	102,87
-0,754	103,10
-0,740	103,41
-0,726	103,78
-0,712	104,05
-0,697	104,42
-0,682	104,78
-0,668	105,06
-0,652	105,45
-0,636	105,92
-0,620	106,22
-0,605	106,64
-0,591	106,97
-0,573	107,44
-0,558	107,86
-0,540	108,18
-0,523	108,62
-0,507	109,13
-0,490	109,56
-0,473	110,03
-0,457	110,50
-0,440	110,93
-0,421	111,49
-0,404	111,96
-0,386	112,48
-0,368	113,06
-0,350	113,56
-0,333	114,11
-0,314	114,71
-0,297	115,21
-0,278	115,80
-0,259	116,52
-0,242	116,97
-0,223	117,67
-0,206	118,20
-0,188	118,86
-0,170	119,56
-0,151	120,07
-0,132	120,79
-0,115	121,48
-0,096	122,00
-0,079	122,79
-0,060	123,30
-0,042	124,04
-0,024	124,76
-0,006	125,38
0,013	126,16
0,030	126,91
0,047	127,53
0,064	128,34
0,082	129,18
0,101	129,78
0,118	130,65
0,134	131,31
0,151	132,14
0,168	133,01
0,185	133,71
0,201	134,56
0,218	135,48
0,236	136,12
0,251	137,03
0,267	137,88
0,283	138,58
0,298	139,42
0,314	140,33
0,330	141,02
0,346	141,91
0,361	142,89
0,375	143,60
0,391	144,48
0,405	145,19
0,419	146,06
0,434	146,97
0,448	147,72
0,462	148,60
0,476	149,49
0,489	150,23
0,503	151,08
0,515	152,00
0,528	152,62
0,540	153,51
0,553	154,32
0,564	155,03
0,576	155,91
0,589	156,71
0,600	157,40
0,613	158,21
0,624	159,04
0,635	159,76
0,644	160,47
0,655	161,19
0,666	161,91
0,675	162,76
0,685	163,31
0,696	164,08
0,705	164,87
0,715	165,45
0,723	166,13
0,732	166,87
0,740	167,43
0,749	168,04
0,757	168,76
0,765	169,36
0,773	169,95
0,781	170,58
0,789	171,12
0,795	171,73
0,803	172,27
0,809	172,78
0,815	173,40
0,822	173,85
0,829	174,41
0,834	174,91
0,840	175,40
0,847	175,85
0,851	176,34
0,858	176,75
0,862	177,26
0,867	177,68
0,873	178,12
0,878	178,47
0,881	178,92
0,886	179,31
0,891	179,70
0,894	179,97
0,898	180,35
0,902	180,76
0,905	181,02
0,909	181,44
0,913	181,71
0,916	181,96
0,917	182,29
0,920	182,49
0,924	182,76
0,927	183,04
0,928	183,37
0,931	183,48
0,933	183,72
0,935	183,94
0,936	184,22
0,938	184,39
0,939	184,60
0,941	184,75
0,942	184,98
0,942	185,01
0,944	185,16
0,946	185,31
0,946	185,48
0,946	185,58
0,947	185,66
0,947	185,80
0,947	185,86
0,947	185,89
0,947	186,01
0,947	186,09
0,947	186,09
0,947	186,19
0,947	186,17
0,947	186,24
