Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
114,6000	115,09
114,7000	169,50
114,8000	121,45
114,9000	108,30
115,0000	159,63
115,1000	131,93
115,2000	98,94
115,3000	151,26
115,4000	161,13
115,5000	99,40
115,6000	141,23
115,7000	166,99
115,8000	101,92
115,9000	114,25
116,0000	169,70
116,1000	122,60
116,2000	107,75
116,3000	158,80
116,4000	133,33
116,5000	98,85
116,6000	150,13
116,7000	161,88
116,8000	99,56
116,9000	121,20
117,0000	167,55
117,1000	114,46
117,2000	113,12
117,3000	164,61
117,4000	123,90
117,5000	99,78
117,6000	157,57
117,7000	134,91
117,8000	98,87
117,9000	148,37
118,0000	163,23
118,1000	99,95
118,2000	119,38
118,3000	168,11
118,4000	116,16
118,5000	111,63
118,6000	163,34
118,7000	125,99
118,8000	99,41
118,9000	155,64
119,0000	156,99
119,1000	98,92
119,2000	126,96
119,3000	164,32
119,4000	109,43
119,5000	117,99
119,6000	167,49
119,7000	117,85
119,8000	110,50
119,9000	162,35
120,0000	127,64
120,1000	99,28
120,2000	154,47
120,3000	158,34
120,4000	99,00
120,5000	125,13
120,6000	165,45
120,7000	110,76
120,8000	116,64
120,9000	167,01
121,0000	119,25
121,1000	100,90
121,2000	161,19
121,3000	150,67
121,4000	99,08
121,5000	133,71
121,6000	159,62
121,7000	105,26
121,8000	123,64
121,9000	166,35
122,0000	112,16
122,1000	115,20
122,2000	166,17
122,3000	120,91
122,4000	100,53
122,5000	159,95
122,6000	152,25
122,7000	98,95
122,8000	132,12
122,9000	160,93
123,0000	106,13
123,1000	122,49
123,2000	169,05
123,3000	113,17
123,4000	103,25
123,5000	165,51
123,6000	143,31
123,7000	100,14
123,8000	140,67
123,9000	153,72
124,0000	98,82
124,1000	130,36
124,2000	161,89
124,3000	107,01
124,4000	121,18
124,5000	168,72
124,6000	114,51
124,7000	102,65
124,8000	164,67
124,9000	144,87
125,0000	99,88
125,1000	139,45
125,2000	155,02
125,3000	102,72
125,4000	129,07
125,5000	169,71
125,6000	107,92
125,7000	106,66
125,8000	168,47
125,9000	135,32
126,0000	102,12
126,1000	148,21
126,2000	146,10
126,3000	99,63
126,4000	138,18
126,5000	156,01
126,6000	103,17
126,7000	127,99
126,8000	169,78
126,9000	108,73
127,0000	106,01
127,1000	167,97
127,2000	136,79
127,3000	101,75
127,4000	146,81
127,5000	147,71
127,6000	100,22
127,7000	136,60
127,8000	168,54
127,9000	103,89
128,0000	110,91
128,1000	169,71
128,2000	109,70
128,3000	105,31
128,4000	167,49
128,5000	138,53
128,6000	101,24
128,7000	145,38
128,8000	149,31
128,9000	100,66
129,0000	135,31
129,1000	169,00
129,2000	104,64
129,3000	109,90
129,4000	169,59
129,5000	129,18
129,6000	104,48
129,7000	153,50
129,8000	140,13
129,9000	99,15
130,0000	143,90
130,1000	165,76
130,2000	101,16
130,3000	115,91
130,4000	169,26
130,5000	105,52
130,6000	108,79
130,7000	169,40
130,8000	130,56
130,9000	103,77
131,0000	151,97
131,1000	141,98
131,2000	99,32
131,3000	142,01
131,4000	166,64
131,5000	101,76
131,6000	114,52
131,7000	169,61
131,8000	122,02
131,9000	107,86
132,0000	158,99
132,1000	132,73
132,2000	98,89
132,3000	150,38
132,4000	143,70
132,5000	99,57
132,6000	140,10
132,7000	167,36
132,8000	102,40
132,9000	113,28
133,0000	169,68
133,1000	123,64
133,2000	107,02
133,3000	157,81
133,4000	134,37
133,5000	98,82
